match_id,game_datetime,game_length,game_variation,game_version,tft_set_number
BR1_1925627632,2020-04-25 02:46:13,2436.6865234375,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929504335,2020-04-28 22:01:18,2307.43505859375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1917107281,2020-04-17 16:40:49,2152.52001953125,TFT3_GameVariation_None,Version 10.8.317.3760 (Apr 15 2020/11:16:30) [PUBLIC] <Releases/10.8>,3
BR1_1925813673,2020-04-25 06:59:59,2224.197509765625,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929034883,2020-04-28 11:43:58,2081.27734375,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1927766146,2020-04-27 02:07:10,2255.248291015625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929266463,2020-04-28 17:44:32,2200.14892578125,TFT3_GameVariation_FreeNeekos,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931301126,2020-04-30 06:41:09,2232.212646484375,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928394464,2020-04-27 19:40:50,2226.33935546875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932273574,2020-05-01 06:39:58,2497.818603515625,TFT3_GameVariation_BigLittleLegends,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1929574803,2020-04-28 23:14:22,2078.732666015625,TFT3_GameVariation_FourCostFirstCarousel,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931503418,2020-04-30 18:43:00,2091.88134765625,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928834936,2020-04-28 03:49:24,2238.674072265625,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1916229003,2020-04-16 21:37:37,2230.261962890625,TFT3_GameVariation_None,Version 10.8.317.3760 (Apr 15 2020/11:16:30) [PUBLIC] <Releases/10.8>,3
BR1_1928523014,2020-04-27 22:02:38,2132.647216796875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931480397,2020-04-30 18:16:28,2266.954833984375,TFT3_GameVariation_FreeNeekos,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930724898,2020-04-29 22:47:17,2158.933837890625,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932433517,2020-05-01 15:57:12,2158.755615234375,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930603918,2020-04-29 19:55:39,2200.037109375,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932121203,2020-05-01 03:11:03,2296.36083984375,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1925081174,2020-04-24 20:08:30,2304.927001953125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931322181,2020-04-30 13:48:06,1976.4656982421875,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928363583,2020-04-27 19:29:23,2247.30615234375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931675740,2020-04-30 23:11:05,2118.248779296875,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1927588807,2020-04-27 00:09:27,2167.86962890625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1920864265,2020-04-20 23:29:11,2263.779296875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1925528766,2020-04-25 01:47:27,2279.142333984375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1912964724,2020-04-14 00:24:52,2278.17822265625,TFT3_GameVariation_None,Version 10.7.314.9802 (Mar 26 2020/14:16:38) [PUBLIC] <Releases/10.7>,3
BR1_1932189635,2020-05-01 05:43:53,2529.490234375,TFT3_GameVariation_BigLittleLegends,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928008039,2020-04-27 14:29:05,2081.743408203125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1930647257,2020-04-29 21:48:02,2254.138427734375,TFT3_GameVariation_BigLittleLegends,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930744244,2020-04-29 22:42:49,2205.165771484375,TFT3_GameVariation_Bonanza,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930936062,2020-04-30 02:21:11,2237.893310546875,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928833701,2020-04-28 03:38:35,2226.77294921875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1910287094,2020-04-11 17:25:30,2052.7998046875,TFT3_GameVariation_None,Version 10.7.314.9802 (Mar 26 2020/14:16:38) [PUBLIC] <Releases/10.7>,3
BR1_1930582248,2020-04-29 19:41:02,2266.12158203125,TFT3_GameVariation_Bonanza,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932326549,2020-05-01 14:02:38,2162.295166015625,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930995923,2020-04-30 03:31:29,2244.392333984375,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931695567,2020-04-30 23:14:51,2240.117431640625,TFT3_GameVariation_FreeNeekos,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1926895950,2020-04-26 07:10:17,2529.045166015625,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928416883,2020-04-27 21:13:42,2297.43896484375,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1915088026,2020-04-15 22:04:13,2240.169189453125,TFT3_GameVariation_None,Version 10.8.316.7615 (Apr 09 2020/17:53:11) [PUBLIC] <Releases/10.8>,3
BR1_1932161170,2020-05-01 03:09:11,2086.540283203125,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930736342,2020-04-29 22:58:51,2145.000732421875,TFT3_GameVariation_FourCostFirstCarousel,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1929135511,2020-04-28 15:32:21,2083.906005859375,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928340717,2020-04-27 19:04:18,2311.464111328125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1925614483,2020-04-25 02:26:31,2432.518798828125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928832105,2020-04-28 03:23:27,2160.576171875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932246978,2020-05-01 07:24:39,2133.633056640625,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931312644,2020-04-30 07:22:57,1867.56591796875,TFT3_GameVariation_FourCostFirstCarousel,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928659849,2020-04-28 00:55:18,2020.701904296875,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1927382498,2020-04-26 20:06:16,2116.612060546875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1926561073,2020-04-25 23:58:52,2285.078857421875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928077500,2020-04-27 16:53:30,2328.198486328125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928435257,2020-04-27 21:02:14,2165.236328125,TFT3_GameVariation_FreeNeekos,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929504335,2020-04-28 22:01:18,2307.43505859375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1917107281,2020-04-17 16:40:49,2152.52001953125,TFT3_GameVariation_None,Version 10.8.317.3760 (Apr 15 2020/11:16:30) [PUBLIC] <Releases/10.8>,3
BR1_1925813673,2020-04-25 06:59:59,2224.197509765625,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929034883,2020-04-28 11:43:58,2081.27734375,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1927766146,2020-04-27 02:07:10,2255.248291015625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929266463,2020-04-28 17:44:32,2200.14892578125,TFT3_GameVariation_FreeNeekos,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931301126,2020-04-30 06:41:09,2232.212646484375,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928394464,2020-04-27 19:40:50,2226.33935546875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932273574,2020-05-01 06:39:58,2497.818603515625,TFT3_GameVariation_BigLittleLegends,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1929574803,2020-04-28 23:14:22,2078.732666015625,TFT3_GameVariation_FourCostFirstCarousel,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931503418,2020-04-30 18:43:00,2091.88134765625,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928834936,2020-04-28 03:49:24,2238.674072265625,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1916229003,2020-04-16 21:37:37,2230.261962890625,TFT3_GameVariation_None,Version 10.8.317.3760 (Apr 15 2020/11:16:30) [PUBLIC] <Releases/10.8>,3
BR1_1928523014,2020-04-27 22:02:38,2132.647216796875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931480397,2020-04-30 18:16:28,2266.954833984375,TFT3_GameVariation_FreeNeekos,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930724898,2020-04-29 22:47:17,2158.933837890625,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932433517,2020-05-01 15:57:12,2158.755615234375,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930603918,2020-04-29 19:55:39,2200.037109375,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932121203,2020-05-01 03:11:03,2296.36083984375,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1925081174,2020-04-24 20:08:30,2304.927001953125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931322181,2020-04-30 13:48:06,1976.4656982421875,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928363583,2020-04-27 19:29:23,2247.30615234375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931675740,2020-04-30 23:11:05,2118.248779296875,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1927588807,2020-04-27 00:09:27,2167.86962890625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1920864265,2020-04-20 23:29:11,2263.779296875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1925528766,2020-04-25 01:47:27,2279.142333984375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1912964724,2020-04-14 00:24:52,2278.17822265625,TFT3_GameVariation_None,Version 10.7.314.9802 (Mar 26 2020/14:16:38) [PUBLIC] <Releases/10.7>,3
BR1_1932189635,2020-05-01 05:43:53,2529.490234375,TFT3_GameVariation_BigLittleLegends,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928008039,2020-04-27 14:29:05,2081.743408203125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1930647257,2020-04-29 21:48:02,2254.138427734375,TFT3_GameVariation_BigLittleLegends,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930744244,2020-04-29 22:42:49,2205.165771484375,TFT3_GameVariation_Bonanza,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930936062,2020-04-30 02:21:11,2237.893310546875,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928833701,2020-04-28 03:38:35,2226.77294921875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1910287094,2020-04-11 17:25:30,2052.7998046875,TFT3_GameVariation_None,Version 10.7.314.9802 (Mar 26 2020/14:16:38) [PUBLIC] <Releases/10.7>,3
BR1_1930582248,2020-04-29 19:41:02,2266.12158203125,TFT3_GameVariation_Bonanza,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932326549,2020-05-01 14:02:38,2162.295166015625,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930995923,2020-04-30 03:31:29,2244.392333984375,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931695567,2020-04-30 23:14:51,2240.117431640625,TFT3_GameVariation_FreeNeekos,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931405131,2020-04-30 17:05:44,1720.310791015625,TFT3_GameVariation_BigLittleLegends,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1926895950,2020-04-26 07:10:17,2529.045166015625,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928416883,2020-04-27 21:13:42,2297.43896484375,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1915088026,2020-04-15 22:04:13,2240.169189453125,TFT3_GameVariation_None,Version 10.8.316.7615 (Apr 09 2020/17:53:11) [PUBLIC] <Releases/10.8>,3
BR1_1932161170,2020-05-01 03:09:11,2086.540283203125,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930736342,2020-04-29 22:58:51,2145.000732421875,TFT3_GameVariation_FourCostFirstCarousel,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1929135511,2020-04-28 15:32:21,2083.906005859375,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928340717,2020-04-27 19:04:18,2311.464111328125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1925614483,2020-04-25 02:26:31,2432.518798828125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928832105,2020-04-28 03:23:27,2160.576171875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932246978,2020-05-01 07:24:39,2133.633056640625,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931312644,2020-04-30 07:22:57,1867.56591796875,TFT3_GameVariation_FourCostFirstCarousel,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928659849,2020-04-28 00:55:18,2020.701904296875,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1927382498,2020-04-26 20:06:16,2116.612060546875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1926561073,2020-04-25 23:58:52,2285.078857421875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928077500,2020-04-27 16:53:30,2328.198486328125,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928435257,2020-04-27 21:02:14,2165.236328125,TFT3_GameVariation_FreeNeekos,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1923048594,2020-04-22 21:08:39,2133.477783203125,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931366986,2020-04-30 15:27:40,2392.39306640625,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928113025,2020-04-27 15:56:03,2267.025146484375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1930373268,2020-04-29 13:07:54,2261.57861328125,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1929382296,2020-04-28 18:48:57,2187.847412109375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931240757,2020-04-30 04:23:18,2307.273193359375,TFT3_GameVariation_MidGameFoN,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931194696,2020-04-30 05:00:37,2422.923095703125,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928356003,2020-04-27 19:49:22,2348.38134765625,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932190047,2020-05-01 04:15:20,2293.864990234375,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931687629,2020-04-30 23:29:50,2353.89599609375,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1926985890,2020-04-26 13:36:15,2100.43896484375,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1928069200,2020-04-27 17:08:55,2263.394775390625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1930520331,2020-04-29 17:47:36,2502.80712890625,TFT3_GameVariation_Bonanza,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1927653565,2020-04-27 00:42:39,2279.358154296875,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1930492988,2020-04-29 18:08:12,2191.34765625,TFT3_GameVariation_TwoStarCarousels,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930537563,2020-04-29 18:55:16,2024.90576171875,TFT3_GameVariation_Bonanza,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932083293,2020-05-01 02:18:41,2071.391845703125,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1930846998,2020-04-30 01:17:37,2056.112548828125,TFT3_GameVariation_FreeNeekos,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1927906356,2020-04-27 04:45:57,1908.8790283203125,TFT3_GameVariation_MidGameFoN,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932275418,2020-05-01 07:04:28,2094.182373046875,TFT3_GameVariation_MidGameFoN,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1931343792,2020-04-30 14:29:46,2158.12646484375,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1932089713,2020-05-01 03:05:40,2441.195556640625,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1921066884,2020-04-21 01:37:33,2504.7138671875,TFT3_GameVariation_BigLittleLegends,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929633675,2020-04-29 00:18:01,2249.793701171875,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1931196065,2020-04-30 05:11:01,2066.1689453125,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1927225252,2020-04-26 19:20:11,2114.29541015625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1914792425,2020-04-15 15:44:02,2293.56640625,TFT3_GameVariation_BigLittleLegends,Version 10.8.316.7615 (Apr 09 2020/17:53:11) [PUBLIC] <Releases/10.8>,3
BR1_1931563673,2020-04-30 20:19:18,2308.062255859375,TFT3_GameVariation_FreeRerolls,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1928076782,2020-04-27 16:45:34,2379.8525390625,TFT3_GameVariation_None,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1932003248,2020-05-01 01:12:15,2033.4322509765625,TFT3_GameVariation_None,Version 10.9.318.6057 (Apr 23 2020/18:02:32) [PUBLIC] <Releases/10.9>,3
BR1_1929529515,2020-04-28 22:43:04,2264.7822265625,TFT3_GameVariation_FreeRerolls,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
BR1_1929482960,2020-04-28 21:43:55,2240.5224609375,TFT3_GameVariation_FourCostFirstCarousel,Version 10.8.317.8137 (Apr 17 2020/16:09:11) [PUBLIC] <Releases/10.8>,3
